"Course ","Course Code","Section Fee Type","Course Amount ($)","Course Start Date"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","26-Apr-2019"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","19-Feb-2019"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","19-Feb-2019"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","19-Feb-2019"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","03-Dec-2018"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","26-Apr-2019"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","03-Dec-2018"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","03-Dec-2018"
"1.2 CEU Ground Water","WTER-1258","17918","414.29","21-Feb-2019"
"1.2 CEU Ground Water","WTER-1258","17918","414.29","21-Feb-2019"
"1.2 CEU Ground Water","WTER-1258","17918","414.29","21-Feb-2019"
"1.2 CEU Ground Water","WTER-1258","17908","414.29","20-Feb-2020"
"1.2 CEU Ground Water","WTER-1258","17908","414.29","20-Feb-2020"
"1.2 CEU Ground Water","WTER-1258","17908","414.29","20-Feb-2020"
"1.2 CEU Ground Water","WTER-1258","17908","414.29","20-Feb-2020"
"1.2 CEU Surface Water","WTER-1202","17908","414.29","21-May-2020"
"1.2 CEU Surface Water","WTER-1202","17908","414.29","21-May-2020"
"1.2 CEU Surface Water","WTER-1202","17908","414.29","21-May-2020"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","09-May-2019"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","09-May-2019"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","09-May-2019"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","02-May-2019"
"1.2 CEU Surface Water","WTER-1202","17908","414.29","21-May-2020"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","02-May-2019"
"1.2 CEU Surface Water","WTER-1202","17918","414.29","02-May-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","02-Apr-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","07-Sep-2018"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","07-Sep-2018"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","05-Apr-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","05-Apr-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","05-Apr-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","04-Jan-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","04-Jan-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","04-Jan-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","02-Apr-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","02-Apr-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17918","360.95","07-Sep-2018"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","08-Jan-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","08-Jan-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","08-Jan-2021"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","04-Sep-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","04-Sep-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","04-Sep-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","04-Sep-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Apr-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Apr-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Apr-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Apr-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Jan-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Jan-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Jan-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","03-Jan-2020"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","06-Sep-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","06-Sep-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","06-Sep-2019"
"1.5 CEU Coag Floc Sed Filt","WTER-1268","17908","360.95","06-Sep-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","07-Sep-2018"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Jan-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","04-Jan-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","04-Jan-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","05-Apr-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","05-Apr-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","05-Apr-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","06-Sep-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","02-Apr-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","02-Apr-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","02-Apr-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Apr-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Apr-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Apr-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Apr-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","06-Sep-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","06-Sep-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","06-Sep-2019"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","08-Jan-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","08-Jan-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","08-Jan-2021"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","04-Sep-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","04-Sep-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","04-Sep-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","04-Sep-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","07-Sep-2018"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","07-Sep-2018"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Jan-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Jan-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17908","360.95","03-Jan-2020"
"1.5 CEU Corrosion Taste Odour","WTER-1270","17918","360.95","04-Jan-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","06-Sep-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","06-Sep-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","06-Sep-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","06-Sep-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Jan-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Jan-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Jan-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Jan-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","04-Sep-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","04-Sep-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","04-Sep-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","04-Sep-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","08-Jan-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","08-Jan-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","08-Jan-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","02-Apr-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","02-Apr-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","02-Apr-2021"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Apr-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Apr-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Apr-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17908","360.95","03-Apr-2020"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","04-Jan-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","04-Jan-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","04-Jan-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","05-Apr-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","05-Apr-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","05-Apr-2019"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","07-Sep-2018"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","07-Sep-2018"
"1.5 CEU Iron Mang Flouride","WTER-1269","17918","360.95","07-Sep-2018"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","06-Sep-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","08-Jan-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","06-Sep-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","06-Sep-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Jan-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Jan-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Jan-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Jan-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Apr-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Apr-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Apr-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","03-Apr-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","04-Sep-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","08-Jan-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","08-Jan-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","02-Apr-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","02-Apr-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","02-Apr-2021"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","04-Sep-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","04-Sep-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17908","461.90","04-Sep-2020"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","07-Sep-2018"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","07-Sep-2018"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","07-Sep-2018"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","05-Apr-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","04-Jan-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","04-Jan-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17918","360.95","04-Jan-2019"
"1.5 CEU Membrane Treatment","WTER-1266","17908","360.95","06-Sep-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Jan-2020"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","04-Jan-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Jan-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Jan-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Apr-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Apr-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Apr-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Apr-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","06-Sep-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","06-Sep-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","06-Sep-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","06-Sep-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","02-Apr-2021"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","02-Apr-2021"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","02-Apr-2021"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","04-Sep-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","04-Sep-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","04-Sep-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","04-Sep-2020"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","08-Jan-2021"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","08-Jan-2021"
"1.5 CEU Reservoir Management","WTER-1264","17908","461.90","08-Jan-2021"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","07-Sep-2018"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","07-Sep-2018"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","07-Sep-2018"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","05-Apr-2019"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","05-Apr-2019"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","05-Apr-2019"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","04-Jan-2019"
"1.5 CEU Reservoir Management","WTER-1264","17918","360.95","04-Jan-2019"
"1.5 CEU Reservoir Management","WTER-1264","17908","360.95","03-Jan-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Jan-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","08-Jan-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Jan-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Jan-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Apr-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","08-Jan-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","02-Apr-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","02-Apr-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","02-Apr-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","06-Sep-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","06-Sep-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","06-Sep-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","06-Sep-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","04-Jan-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","04-Jan-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","04-Jan-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","05-Apr-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","05-Apr-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","05-Apr-2019"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","07-Sep-2018"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","07-Sep-2018"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17918","461.90","07-Sep-2018"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","04-Sep-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","04-Sep-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","04-Sep-2020"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","08-Jan-2021"
"1.5 CEU Sm Systems Wastewater","WTER-1261","17908","461.90","03-Jan-2020"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","06-Sep-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","06-Sep-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","06-Sep-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","06-Sep-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","07-Sep-2018"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","07-Sep-2018"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","07-Sep-2018"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","04-Jan-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","04-Jan-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","04-Jan-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","05-Apr-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","05-Apr-2019"
"1.5 CEU Small Systems Water","WTER-1260","17918","461.90","05-Apr-2019"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","08-Jan-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","08-Jan-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","08-Jan-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","02-Apr-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","02-Apr-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","02-Apr-2021"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","04-Sep-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","04-Sep-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","04-Sep-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Jan-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Jan-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Jan-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Jan-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Apr-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Apr-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Apr-2020"
"1.5 CEU Small Systems Water","WTER-1260","17908","461.90","03-Apr-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","04-Jan-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Jan-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","05-Apr-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","05-Apr-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","05-Apr-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","07-Sep-2018"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","07-Sep-2018"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","07-Sep-2018"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Jan-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Jan-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","04-Jan-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Apr-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Apr-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Jan-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","02-Apr-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","02-Apr-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","02-Apr-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","08-Jan-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","08-Jan-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","08-Jan-2021"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","04-Sep-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","04-Sep-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","04-Sep-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","04-Sep-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","06-Sep-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","06-Sep-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","06-Sep-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","06-Sep-2019"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Apr-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17908","360.95","03-Apr-2020"
"1.5 CEU WD Operation & Maint","WTER-1278","17918","360.95","04-Jan-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","05-Apr-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","05-Apr-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","05-Apr-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","07-Sep-2018"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","07-Sep-2018"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","07-Sep-2018"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","02-Apr-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","02-Apr-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","02-Apr-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","08-Jan-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","08-Jan-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","08-Jan-2021"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","04-Sep-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","04-Sep-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","04-Sep-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","04-Sep-2020"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","04-Jan-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","04-Jan-2019"
"1.5 CEU WD Water Quality","WTER-1277","17918","360.95","04-Jan-2019"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","06-Sep-2019"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","06-Sep-2019"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","06-Sep-2019"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","06-Sep-2019"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","03-Apr-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","03-Apr-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","03-Apr-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","03-Apr-2020"
"1.5 CEU WD Water Quality","WTER-1277","17908","360.95","03-Jan-2020"
